interval,timbre_type,model,value
1.1400000000000001,Harmonic,roughness,0.3784878606479533
1.1400000000000001,Harmonic,harmonicity,1.1298220336614044
1.1500000000000001,Carillon,roughness,0.5781669005128192
1.1500000000000001,Carillon,harmonicity,0.9143457309624257
1.1500000000000001,Harmonic,roughness,0.37578733494004124
1.1500000000000001,Harmonic,harmonicity,1.1286587971487683
1.16,Carillon,roughness,0.5774363238028253
1.16,Carillon,harmonicity,0.9170752536402081
1.16,Harmonic,roughness,0.37309722602160744
1.16,Harmonic,harmonicity,1.126251770346971
1.17,Carillon,roughness,0.5767966951711564
1.17,Carillon,harmonicity,0.9197765681478878
1.17,Harmonic,roughness,0.37041850670653625
1.17,Harmonic,harmonicity,1.1245458810413775
1.18,Carillon,roughness,0.5759587836046103
1.18,Carillon,harmonicity,0.919909093173828
1.18,Harmonic,roughness,0.3677520521545929
1.18,Harmonic,harmonicity,1.1216627868892697
1.19,Carillon,roughness,0.5750680876338163
1.19,Carillon,harmonicity,0.9249965047140127
1.19,Harmonic,roughness,0.3650986403720404
1.19,Harmonic,harmonicity,1.118287154644391
1.2,Carillon,roughness,0.574074556342013
1.2,Carillon,harmonicity,0.9251666268868022
1.2,Harmonic,roughness,0.3624589526886181
1.2,Harmonic,harmonicity,1.114220995832515
1.21,Carillon,roughness,0.5730843535824345
1.21,Carillon,harmonicity,0.9298181680599109
1.21,Harmonic,roughness,0.35983357421749346
1.21,Harmonic,harmonicity,1.1102740321803237
1.22,Carillon,roughness,0.5720460018506499
1.22,Carillon,harmonicity,0.9299617169312088
1.22,Harmonic,roughness,0.3572229943055683
1.22,Harmonic,harmonicity,1.1057564234035469
1.23,Carillon,roughness,0.570960997699467
1.23,Carillon,harmonicity,0.9340754354675282
1.23,Harmonic,roughness,0.3550767043669403
1.23,Harmonic,harmonicity,1.1009834395185012
1.24,Carillon,roughness,0.5686044098366487
1.24,Carillon,harmonicity,0.9341299562682273
1.24,Harmonic,roughness,0.3525095366304173
1.24,Harmonic,harmonicity,1.0988237149023234
1.25,Carillon,roughness,0.5674526575282547
1.25,Carillon,harmonicity,0.9376386215091123
1.25,Harmonic,roughness,0.3499584161254497
