experiment,interval,value,measure,measure_group,colour,timbre,ymin,ymax
Experiment,3.093093093093093,0.18017715378540244,Participants,,black,Harmonic,0.05912908775009726,0.3012252198207076
Experiment,3.108108108108108,0.17982432277347002,Participants,,black,Harmonic,0.05855390993590194,0.3010947356110381
Experiment,3.123123123123123,0.17884365233018018,Participants,,black,Harmonic,0.057387650060747905,0.30029965459961244
Experiment,3.138138138138138,0.17724792261911992,Participants,,black,Harmonic,0.05564599350371478,0.29884985173452505
Experiment,3.153153153153153,0.17505597585513216,Participants,,black,Harmonic,0.053351170761126,0.2967607809491383
Experiment,3.168168168168168,0.17229282161549536,Participants,,black,Harmonic,0.05053192577894375,0.294053717452047
Experiment,3.183183183183183,0.16898968541041642,Participants,,black,Harmonic,0.047223320810430056,0.2907560500104028
Experiment,3.198198198198198,0.1651840007305403,Participants,,black,Harmonic,0.04346638731148997,0.2869016141495906
Experiment,3.2132132132132134,0.16091934394969262,Participants,,black,Harmonic,0.039307641576678196,0.28253104632270704
Experiment,3.2282282282282284,0.1562453100927535,Participants,,black,Harmonic,0.03479849127344646,0.2776921289120605
Experiment,3.2432432432432434,0.15121732576307212,Participants,,black,Harmonic,0.029994564201561796,0.27244008732458247
Experiment,3.2582582582582584,0.14589639370195048,Participants,,black,Harmonic,0.024954993320438185,0.26683779408346275
Experiment,3.2732732732732734,0.14034876180137126,Participants,,black,Harmonic,0.019741692488921964,0.2609558311138206
Experiment,3.2882882882882885,0.13464550819667104,Participants,,black,Harmonic,0.014418655741736702,0.25487236065160535
Experiment,3.3033033033033035,0.12886203359604412,Participants,,black,Harmonic,0.009051309543778613,0.24867275764830962
Experiment,3.3183183183183185,0.12307745248138587,Participants,,black,Harmonic,0.0037059423921887574,0.24244896257058296
Experiment,3.3333333333333335,0.11737387639369205,Participants,,black,Harmonic,-0.001550770796807377,0.23629852358419148
Experiment,3.3483483483483485,0.1118355852620901,Participants,,black,Harmonic,-0.006652141224377656,0.23032331174855786
Experiment,3.3633633633633635,0.1065480866136536,Participants,,black,Harmonic,-0.011531739042592554,0.22462791226989975
Experiment,3.3783783783783785,0.10159706737064313,Participants,,black,Harmonic,-0.016123583966471844,0.2193177187077581
Experiment,3.3933933933933935,0.09706724855899172,Participants,,black,Harmonic,-0.0203622868434101,0.21449678396139354
Experiment,3.4084084084084085,0.0930411592827106,Participants,,black,Harmonic,-0.024183190733475288,0.21026550929889648
Experiment,3.4234234234234235,0.08959785236099116,Participants,,black,Harmonic,-0.02752257213836505,0.20671827686034738
Experiment,3.4384384384384385,0.0868115896373083,Participants,,black,Harmonic,-0.030317968242336082,0.2039411475169527
Experiment,3.4534534534534536,0.08475052970972857,Participants,,black,Harmonic,-0.032508691155775746,0.2020097505752329
Experiment,3.4684684684684686,0.08347545429247802,Participants,,black,Harmonic,-0.0340365734693724,0.20098748205432843
Experiment,3.4834834834834836,0.08303857126838111,Participants,,black,Harmonic,-0.03484696177871695,0.2009241043154792
Experiment,3.4984984984984986,0.08348243250345469,Participants,,black,Harmonic,-0.03488993997443662,0.201854804981346
Experiment,3.5135135135135136,0.08483900256981526,Participants,,black,Harmonic,-0.03412172801583853,0.20379973315546906
Experiment,3.5285285285285286,0.08712891069919076,Participants,,black,Harmonic,-0.0325061713441743,0.20676399274255583
Experiment,3.5435435435435436,0.09036091273754741,Participants,,black,Harmonic,-0.030016216630766396,0.21073804210586122
Experiment,3.5585585585585586,0.09453158287869216,Participants,,black,Harmonic,-0.026635264168235778,0.2156984299256201
Experiment,3.5735735735735736,0.09962524689800258,Participants,,black,Harmonic,-0.022358295717507762,0.22160878951351293
Experiment,3.5885885885885886,0.10561415992133333,Participants,,black,Harmonic,-0.017192696156943965,0.22842101599961062
Experiment,3.6036036036036037,0.11245892290785486,Participants,,black,Harmonic,-0.01115871346061896,0.2360765592763287
Experiment,3.6186186186186187,0.12010912345267158,Participants,,black,Harmonic,-0.004289529776362766,0.24450777668170592
Experiment,3.6336336336336337,0.1285041786485525,Participants,,black,Harmonic,0.0033690570764021432,0.2536393002207028
Experiment,3.6486486486486487,0.13757435096051632,Participants,,black,Harmonic,0.011759319921570421,0.2633893819994622
Experiment,3.6636636636636637,0.1472419026764253,Participants,,black,Harmonic,0.020812617267448513,0.27367118808540214
Experiment,3.6786786786786787,0.1574223507474671,Participants,,black,Harmonic,0.030450685741788164,0.28439401575314605
Experiment,3.6936936936936937,0.16802578189725584,Participants,,black,Harmonic,0.0405871507203415,0.29546441307417015
Experiment,3.7087087087087087,0.17895818785150194,Participants,,black,Harmonic,0.05112919154554915,0.30678718415745476
Experiment,3.7237237237237237,0.19012278243027747,Participants,,black,Harmonic,0.061979295981445276,0.3182662688791097
Experiment,3.7387387387387387,0.20142126596735485,Participants,,black,Harmonic,0.07303703891530569,0.329805493019404
