vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2023-02-16 18:08:07,False,,,178,headphone_test,51,2023-02-16 18:08:07,2023-02-16 18:08:50,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[4, 3, 5, 1, 2, 6]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:08:36,False,,,181,consonance_main_experiment,48,2023-02-16 18:08:36,2023-02-16 18:13:17,,True,True,False,ChainTrialMakerState,default,True,"{'score': -0.3333333333333333, 'passed': True}","[1310, 1394, 1353, 1560]",4.0,54,['default'],0,default,"[22, 14, 23, 28, 17, 51, 40, 37, 15, 21, 36, 29, 20, 16, 43, 34, 48, 18, 53, 39, 55, 47, 52, 8, 35, 19, 10, 25, 26, 31, 30, 11, 50, 12, 49, 9, 24, 33, 44, 13, 38, 41, 54, 56, 45, 27, 46, 7, 42, 32, 29, 52, 48, 46]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:08:46,False,,,183,headphone_test,61,2023-02-16 18:08:46,2023-02-16 18:09:53,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 3, 2, 1, 4, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:09:06,False,,,185,consonance_main_experiment,51,2023-02-16 18:09:06,2023-02-16 18:14:01,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.8888888888888888, 'passed': True}","[1397, 1461, 1272, 1365]",4.0,54,['default'],0,default,"[20, 13, 46, 7, 55, 12, 21, 19, 37, 33, 29, 27, 23, 56, 43, 53, 52, 32, 44, 15, 8, 28, 41, 42, 36, 10, 30, 51, 39, 18, 45, 35, 31, 22, 26, 54, 14, 49, 17, 34, 24, 50, 16, 48, 11, 40, 47, 25, 9, 38, 53, 42, 13, 27]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:09:59,False,,,194,consonance_main_experiment,61,2023-02-16 18:09:59,2023-02-16 18:15:25,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.0, 'passed': True}","[1629, 1478, 1579, 1568]",4.0,54,['default'],0,default,"[36, 29, 8, 48, 51, 14, 25, 13, 23, 38, 37, 15, 47, 33, 28, 17, 39, 52, 18, 45, 11, 43, 7, 55, 24, 49, 16, 34, 12, 9, 53, 22, 50, 42, 26, 41, 20, 40, 10, 31, 27, 54, 30, 32, 56, 35, 19, 21, 44, 46, 20, 17, 12, 16]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:10:18,False,,,197,headphone_test,64,2023-02-16 18:10:18,2023-02-16 18:10:56,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[2, 3, 1, 6, 4, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:11:03,False,,,202,headphone_test,70,2023-02-16 18:11:03,2023-02-16 18:11:49,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 4, 1, 3, 5, 2]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:11:04,False,,,203,consonance_main_experiment,64,2023-02-16 18:11:04,2023-02-16 18:15:00,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.9486832980505138, 'passed': True}","[1628, 1668, 1693, 1562]",4.0,54,['default'],0,default,"[17, 31, 24, 26, 18, 33, 52, 16, 34, 9, 29, 35, 53, 27, 8, 46, 10, 44, 7, 36, 43, 11, 42, 19, 28, 15, 38, 14, 56, 25, 32, 48, 20, 47, 22, 37, 54, 30, 50, 45, 13, 55, 12, 39, 49, 21, 41, 51, 40, 23, 20, 45, 49, 43]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:11:53,False,,,208,headphone_test,66,2023-02-16 18:11:53,2023-02-16 18:12:51,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[4, 5, 6, 3, 1, 2]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:11:58,False,,,210,headphone_test,67,2023-02-16 18:11:58,2023-02-16 18:12:35,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[3, 2, 1, 6, 4, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 18:11:59,False,,,211,consonance_main_experiment,70,2023-02-16 18:11:59,2023-02-16 18:16:53,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.8333333333333334, 'passed': True}","[1843, 1595, 1725, 1638]",4.0,54,['default'],0,default,"[32, 23, 31, 56, 37, 12, 41, 42, 45, 52, 28, 18, 36, 11, 54, 13, 25, 33, 22, 53, 10, 51, 16, 24, 43, 8, 39, 15, 17, 34, 49, 20, 7, 19, 50, 46, 27, 9, 14, 26, 40, 30, 44, 48, 29, 21, 55, 35, 38, 47, 38, 36, 20, 22]",54,54,ChainTrialMakerState,ModuleState
